publisher,series title,issue title,cover image,description,writers,artists,inkers,colorists,pages,release date
DC,Batman (2016-),Batman (2016-) #40,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621357/621357._SX360_QL80_TTD_.jpg,"“SUPERFRIENDS” part four! Since the beginning, the friendship between Batman and Wonder Woman has stood at the heart of the DC Universe. Now that friendship is coming apart, and as it does, the universe itself begins to crumble. The conclusion of Batman’s team-up with Wonder Woman.",Tom King,Joelle Jones,Joelle Jones,Jordie Bellaire,24 Pages,February  7 2018
Marvel,X-Men Red (2018-),X-Men Red (2018-) #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/609190/609190._SX360_QL80_TTD_.jpg,"THE FIRST SENSATIONAL ARC OF AN ALL-NEW TEAM OF X-MEN STARTS HERE! JEAN GREY is back! Returned to a world she doesnt recognize, the First Lady of the X-MEN gathers an unlikely team — NIGHTCRAWLER, NAMOR and LAURA KINNEY (A.K.A. ALL-NEW WOLVERINE) — to face an evil that threatens to tear down XAVIERs dream by any means necessary!",Tom Taylor,Mahmud A. Asrar,,,32 Pages,February  7 2018
Dark Horse,Incognegro: Renaissance,Incognegro: Renaissance #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/613760/613760._SX360_QL80_TTD_.jpg,"After a black writer is found dead at a scandalous interracial party in 1920s New York, Harlems cub reporter Zane Pinchback is the only one determined to solve the murder. Zane must go incognegro for the first time--using his light appearance to pass as a white man--to find the true killer, in this prequel miniseries to the critically acclaimed Vertigo graphic novel, now available in a special new 10th Anniversary Edition.

With a cryptic manuscript as his only clue, and a mysterious and beautiful woman as the murders only witness, Zane finds himself on the hunt through the dark and dangerous streets of roaring twenties Harlem in search for justice.

A page-turning thriller of racial divide, Incognegro: Renaissance explores segregation, secrets, and self-image as our race-bending protagonist penetrates a world where he feels stranger than ever before.

* Mature readers.    

A talented writer of both fiction and creative non-fiction, Johnsons publications have established himself as an important new voice in the African-American tradition.-- Walter Mosley",Mat Johnson,Warren Pleece,,,27 Pages,February  7 2018
BOOM! - BOOM! Box,The Backstagers,The Backstagers Valentines Intermission #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/630073/630073._SX360_QL80_TTD_.jpg,"It’s Valentine’s Day at St. Genesius Prep and the Backstagers are back in (stage) blacks for some ROMANTIC adventures in the mysterious world behind the scenes!  Featuring bonus tales from a variety of special guests, including Brittney Williams, Caitlin Rose Boyle, and Katy Farina! It’s the “seasons of love” for your favorite backstage boys! (No, you can’t wear pink backstage. Or red. Or glitter. Or cherub wings, Sasha.)","Samantha Johns, James Tynion IV","Caitlin Rose Boyle, Katy Farina, Rian Sygh, Brittney Williams",,"Walter Baiamonte, Katy Farina, Rebecca Nalty",41 Pages,February  7 2018
IDW,Transformers vs. The Visionaries,Transformers vs. The Visionaries #2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/595871/595871._SX360_QL80_TTD_.jpg,"Virulina, leader of the Darkling Lords, has discovered that the Transformers are vulnerable to magic—and now shes using that weakness to try and gain control of Cybertron and wipe them out! Leoric and Ironhide team up to stop her, but quickly find themselves facing not only the Darkling Lords, but all of New Prysmos itself!",Magdalene Visaggio,Fico Ossio,,,37 Pages,February  7 2018
Image,Scales & Scoundrels,Scales & Scoundrels Vol. 1: Into The Dragons Maw,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/596290/596290._SX360_QL80_TTD_.jpg,"It’s hard to make an honest living in a land brimming with magic and mystery, and treasure hunter Luvander is tired of being a penniless adventurer. Ever in search of gold and glory, she sets off for a fabled dungeon, “the Dragon’s Maw,” an ancient labyrinth at the bottom of which slumber endless wealth…or certain doom! A loner by nature, Luvander is forced to team up with a group of scraggly adventurers, each hoping to find a treasure of their own in the forbidden tomb. There is Prince Aki, of the Scarlet Sands Empire, anxious for his first taste of adventure, yet blind to the consequences; his royal Shadow, Koro, whose very honor hangs in the balance of her prince’s quest; and Dorma Ironweed, a stocky young dwarf whose journey will take her deeper into the darkness than she ever dared to tread. What starts out as a road to riches becomes the first step on an epic journey to destiny, for Luvander holds a secret in her heart that will shatter the chains of fate and bring light to a world encroached upon by an ancient darkness. Writer SEBASTIAN GIRNER (SHIRTLESS BEAR-FIGHTER!) and artist GALAAD are proud to present SCALES & SCOUNDRELS, an exciting new fantasy adventure from Image Comics, for scoundrels of all ages! Collects SCALES & SCOUNDRELS #1-5",Sebastian Girner,Galaad,,,143 Pages,February  7 2018
Subversive comics,Super Robot Mayhem,Super Robot Mayhem #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629436/629436._SX360_QL80_TTD_.jpg,"Fall From Grace
Raiden Nakamura is an engineer on the research mining vessel Theseus on a mission to find resources in the Kuiper Belt. When he discovers the ruins of an ancient Super Robot (MAYHEM) buried deep into the rock of an asteroid, he unwittingly sets in motion a chain of events that attracts the attention of the Demon Imperial Alliance (DIA).",Jeremy Biggs,"Javier Bordon, Paul Nicholson",,"Jeremy Biggs, Yel Zamor",28 Pages,Super Robot Mayhem #1 - Comics by comiXology
Marvel,Star Wars: Doctor Aphra (2016-),Star Wars: Doctor Aphra Vol. 2: Doctor Aphra and the Enormous Profit,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/609296/609296._SX360_QL80_TTD_.jpg,"Collects Star Wars: Doctor Aphra #9-13, Annual #1.

Aphras back with a brand-new plan thats guaranteed to pay! Theres just one teensy problem... it involves surrounding herself with some of the galaxys biggest baddies. And they dont like the not-so-good doctors tricks! Her mission to make quick credits by auctioning off an ancient Jedi artifact will start well... and end badly. And thats just when a dark figure from Aphras past decides to make an appearance! Plus, a solo focus on Aphras Wookiee shadow, Black Krrsantan! Find out why this beastly bounty hunter is as frightening as they say... and then some!",Kieron Gillen,Kev Walker,,,144 Pages,February  7 2018
Titan,Robotech,Robotech Vol. 1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/565320/565320._SX360_QL80_TTD_.jpg,"Harmony Golds cult 80s TV series, Robotech, returns for all-new adventures. Featuring classic characters Rick, Lisa, Minmei, Roy, Claudia and Gloval, this new comic series will delight original fans and newcomers alike.",Brian Wood,Marco Turini,,Marco Lesko,112 Pages,February  7 2018
Image,Twisted Romance,Twisted Romance #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/617735/617735._SX360_QL80_TTD_.jpg,"Critically acclaimed writer ALEX de CAMPI teams up with some of comics hottest artists to create tales of love gone wrong, right, and everywhere in between. ISSUE ONE: “OLD FLAMES”In New York City in 1978, there are thousands of ways for people to get together. Theres only one agency dedicated to tearing them apart: Heartbreak Incorporated. But who is the handsome seducer who runs the agency, and what is the secret hes hiding? Drawn by KATIE SKELLY(My Pretty Vampire). Backup comics story by SARAH HORROCKS (Goro, The Leopard) and prose story by MAGEN CUBED (Crashers).","Magen Cubed, Alex de Campi, Sarah Horrocks","Magen Cubed, Sarah Horrocks, Katie Skelly",,,50 Pages,February  7 2018
Marvel,Infinity Countdown: Adam Warlock (2018),Infinity Countdown: Adam Warlock (2018) #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/608985/608985._SX360_QL80_TTD_.jpg,"ADAM WARLOCK IS BACK! Reborn from the realm of the dead, Adam has come seeking the Soul Stone…and the truth about what it did to him! His guide through this Infinity Quest is none other than…Kang the Conqueror?!? Be there as Adam begins down the dark trail sure to lead him into the heart of the mystery of the Infinity Stones…",Gerry Duggan,Mike Allred,,,30 Pages,February  7 2018
DC,Swamp Thing Winter Special (2018),Swamp Thing Winter Special (2018) #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606594/606594._SX360_QL80_TTD_.jpg,"Tom King and Jason Fabok pay tribute to the legendary creators of Swamp Thing, writer Len Wein and artist Bernie Wrightson, as they join forces for an earth-shattering Swamp Thing passion project!
In this new, squarebound one-shot, Swamp Thing is out of his element as he shepherds a lost boy through a blinding blizzard and other hazards of a strange, frozen tundra. In this touching and harrowing tale of survival, the pair must navigate countless threats throughout a bewildering terrain—with a bloodthirsty snow monster hot on their heels. But how long can they rely on each other? Separated from the Green and stripped of his powers in this dead world, Swamp Thing struggles to fight for their lives and deliver the boy to safety. Disoriented and decaying, Swamp Thing’s fading understanding of his surroundings forces the duo to confront their desperation and uncover the true identity of the snow monster that hunts them.

 In addition, this special features the final Swamp Thing story from the monster’s co-creator, Len Wein. Originally intended as the start of a new series, it is presented here both in its original script form and with art by Kelley Jones.","Tom King, Len Wein","Jason Fabok, Kelley Jones","Jason Fabok, Kelley Jones","Brad Anderson, Michelle Madsen",92 Pages,February  7 2018
Marvel,Black Panther: The Sound And The Fury (2018),Black Panther: The Sound And The Fury (2018) #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/608870/608870._SX360_QL80_TTD_.jpg,"The fantastic technology of Wakanda comes to Dubai! But when the villainous KLAW launches a plot to extort billions from the citizens of the city, TCHALLAs diplomatic mission becomes a search and rescue for the BLACK PANTHER! Written and illustrated by industry legends Ralph Macchio and Andrea Di Vito, THE SOUND AND THE FURY puts the Black Panther on a mission that will test his prowess against his long-standing nemesis, as well as three new villains – BLOKK, GARROTTE, and SHEN-YU!mFeaturing a special presentation of FANTASTIC FOUR #53, featuring the earliest conflict between TChalla and Klaw, and the introduction of VIBRANIUM!",Ralph Macchio,Andrea Di Vito,,,43 Pages,February  7 2018
DC,Young Monsters in Love (2018-),Young Monsters in Love (2018-) #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621702/621702._SX360_QL80_TTD_.jpg,It’s hard being a monster…and even harder being a monster in love. Sparks will fly and hearts will be broken when the ghouls and ghosts of the DC Universe assemble to bring you the Valentine’s Day Special that no one saw coming!,"Paul Dini, Phil Hester, Kyle Higgins, Collin Kelly, Alisa Kwitney, Jackson Lanzing, Steve Orlando, James Robinson, Mark Russell, Mairghread Scott, Tim Seeley","Giuseppe Camuncoli, Mirko Colak, Javier Fernandez, Stephanie Hans, Bryan Hitch, Frazer Irving, Kelley Jones, Nic Klein, Guillem March, John McCrea","Mirko Colak, Andrew Currie, Javier Fernandez, Stephanie Hans, Frazer Irving, Kelley Jones, Nic Klein, Guillem March, John McCrea, Cam Smith","Nathan Fairbairn, Stephanie Hans, Frazer Irving, Nic Klein, Michelle Madsen, Dave McCaig, Tomeu Morey, Trish Mulvihill",85 Pages,"
								Guillem March							"
Archie,Archie Comics Double Digest,Archie Comics Double Digest #286,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/633794/633794._SX360_QL80_TTD_.jpg,"BRAND NEW LEAD STORY: ""Hot Times, Cold Nose"" -- Archie and his dog Vegas are spending a weekend in the woods -- but when Vegas goes off to have his own wilderness adventure, will he make it back to his owner?",Various,Various,,,183 Pages,February  7 2018
Archie,Cosmo,Cosmo #2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/633789/633789._SX360_QL80_TTD_.jpg,"NEW ONGOING SERIES! ""Space Aces"" -- Part Two: When a lunar rescue mission takes a turn for the worse, Cosmo and crew must make a daring escape from a chaotic carnival of creatures! This is one thrill ride you wont want to miss!",Ian Flynn,"Matt Herms, Jack Morelli, Tracy Yardley",,,26 Pages,February  7 2018
BOOM! Studios,Mech Cadet Yu,Mech Cadet Yu #6,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/630068/630068._SX360_QL80_TTD_.jpg,"The cadets come face to face with the Sharg, but without their mechs, will they be able to work together?",Greg Pak,Takeshi Miyazawa,,Triona Farrell,29 Pages,February  7 2018
BOOM! - BOOM! Box,Giant Days,Giant Days #35,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/630063/630063._SX360_QL80_TTD_.jpg,"With the prospect of living apart for the first time since they all met as first years just over the horizon, Daisy, Esther, and Susan spend their last summer together before beginning their third year of university.",John Allison,"Liz Fleming, Irene Flores, Max Sarin",,"Whitney Cogar, Kieran Quigley",30 Pages,February  7 2018
BOOM! Studios,The Expanse Origins,The Expanse Vol. 1: Origins,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/630053/630053._SX360_QL80_TTD_.jpg,"Based on the bestselling books and tying into the hit Syfy television series, The Expanse: Origins reveals the untold origins of the crew members of the Rocinante, including an exclusive, never-before-seen story featuring fan-favorite character, Detective Miller. Features all-new stories by series creator James S.A. Corey, written by Hallie Lambert and Georgia Lee, and illustrated by Huang Danlan. Collected in print for the first time.","James S.A. Corey, Hallie Lambert, Georgia Lee",Huang Danlan,,"Triona Farrell, Juan Useche",126 Pages,February  7 2018
BOOM! - BOOM! Box,The Backstagers,The Backstagers Vol. 2: The Show Must Go On,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/630048/630048._SX360_QL80_TTD_.jpg,"Jory and the rest of the Backstagers have one goal this semester: to put on the best show their town’s ever seen. But best-laid plans aren’t easy to achieve when there’s an entire magical world that lives beyond the curtain! When one of the actors suddenly goes missing, the Backstagers must band together to save their comrade and maintain the natural balance of...theater. James Tynion IV (Detective Comics, The Woods) and artist Rian Sygh (Munchkin, Stolen Forest) explore what it means to be an outcast looking to find one’s place in an earnest story of friendship and self-expression. Collects the final issues #5-8.",James Tynion IV,Rian Sygh,,Walter Baiamonte,112 Pages,February  7 2018
Dark Horse,Rasputin: The Voice of the Dragon,Rasputin: The Voice of the Dragon #4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/613770/613770._SX360_QL80_TTD_.jpg,Bruttenholm and Sandhus mission to uncover the evasive Master behind the Nazis occult experiments is derailed when they fall into the clutches of their enemy.,"Mike Mignola, Chris Roberson",Christopher Mitten,,Dave Stewart,23 Pages,February  7 2018
Dark Horse,Tomb Raider: Survivors Crusade,Tomb Raider: Survivors Crusade #3,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598704/598704._SX360_QL80_TTD_.jpg,"Lara Crofts search for the truth about her fathers death has taken her around the world, to exotic locations and dangerous tombs. Now it takes her back to her childhood as she revisits the sacred spot where Lord Richard Croft started her down the path towards becoming the Tomb Raider. Will she find the key to Trinity s secrets in her own past?","Collin Kelly, Jackson Lanzing",Ashley A. Woods,Michael Heisler,Mike Atiyeh,20 Pages,February  7 2018
Dark Horse,Halo Rise of Atriox,Halo: Rise of Atriox #5,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/581661/581661._SX360_QL80_TTD_.jpg,"Brute chief, Jovus, believes himself the most dangerous brute in the galaxy. But Atrioxs fearsome legend has reached even the most distant UNSC outpost. When the two brutes come face to face, their clash shapes the future of the Banished.",John Jackson Miller,Jonathan Wayshak,,Jeremy Colwell,22 Pages,February  7 2018
Dark Horse,Koshchei the Deathless,Koshchei the Deathless #2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/613765/613765._SX360_QL80_TTD_.jpg,"Tales From the Mignolaverse!

Sent to kill Hellboy by the Baba Yaga in Darkness Calls, Koshchei the Deathless hinted at a long and tragic life before being enslaved to the Russian witch.

Now, in a pub somewhere in Hell, Koshchei tells Hellboy about a dangerous mission when the witch sent him to hunt and destroy the last dragons before their eggs hatched.",Mike Mignola,Ben Stenbeck,,Dave Stewart,24 Pages,February  7 2018
DC,Bane: Conquest (2017-),Bane: Conquest (2017-) #9,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621342/621342._SX360_QL80_TTD_.jpg,"Bane is going to war! And to take down Kobra in their lair, he’s going to need an army. Travel around the world with the Man Who Broke The Bat as he assembles his own dirty half-dozen of faces familiar and new. Who has the stuff and who can he trust? The breakneck pace continues as co-creators Chuck Dixon and Graham Nolan raise the stakes for Bane and his new crew! Come in for the kill!",Chuck Dixon,Graham Nolan,Graham Nolan,Gregory Wright,24 Pages,February  7 2018
DC,Batman (2016-),Batman (2016-) #40,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621357/621357._SX360_QL80_TTD_.jpg,"“SUPERFRIENDS” part four! Since the beginning, the friendship between Batman and Wonder Woman has stood at the heart of the DC Universe. Now that friendship is coming apart, and as it does, the universe itself begins to crumble. The conclusion of Batman’s team-up with Wonder Woman.",Tom King,Joelle Jones,Joelle Jones,Jordie Bellaire,24 Pages,February  7 2018
DC,Batman: White Knight (2017-),Batman: White Knight (2017-) #5,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621382/621382._SX360_QL80_TTD_.jpg,"Jack’s mind and body begin to betray him as he prepares for an inevitable showdown with Batman, and Bruce himself struggles to keep his team united. As the game gets tougher, Batman seeks counsel from a shocking source—and after Wayne Manor is infiltrated, a car chase for the ages aims to curb Napier’s supercriminal crew once and for all.",Sean Murphy,Sean Murphy,Sean Murphy,Matt Hollingsworth,27 Pages,February  7 2018
DC,Black Lightning: Cold Dead Hands (2017-),Black Lightning: Cold Dead Hands (2017-) #4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621392/621392._SX360_QL80_TTD_.jpg,"Where were you when terror came to Cleveland? It’s open warfare on the city streets as Black Lightning and the police form an uneasy alliance against White Thunder and his murderous flying killers. Lightning’s troubles with the cops are hardly over, and an angry Tobias Whale plots his next move.",Tony Isabella,Clayton Henry,Clayton Henry,Pete Pantazis,25 Pages,February  7 2018
DC,Dastardly & Muttley (2017-),Dastardly & Muttley (2017-) #6,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621412/621412._SX360_QL80_TTD_.jpg,"When you’re fighting lunacy itself, then lunatics are the only bunch for the job! Dastardly and Muttley are the world’s last, best hope—will our band of heroes stop War Pig One and reverse the effects of Unstabilium on the world? And at what cost? Find out in the grand finale to DASTARDLY AND MUTTLEY.",Garth Ennis,Mauricet,Mauricet,John Kalisz,27 Pages,February  7 2018
DC,Deathstroke (2016-),Deathstroke (2016-) #28,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621427/621427._SX360_QL80_TTD_.jpg,"“CHINATOWN” part one! In the aftermath of the shocking events of this year’s Deathstroke Annual, Slade finds himself at a crossroads as his ad hoc “Dark Titans” team dissolves and even Wintergreen finally abandons him. Slade begins a turbulent backslide to his old ways, bringing him face to face with China’s New Super-Man!",Christopher Priest,Diogenes Neves,John Trevor Scott,Jeromy Cox,25 Pages,February  7 2018
DC,Exit Stage Left: The Snagglepuss Chronicles (2018-),Exit Stage Left: The Snagglepuss Chronicles (2018-) #2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621452/621452._SX360_QL80_TTD_.jpg,"As his friends are blackballed from show business, the government turns up the heat on Snagglepuss, even as his play threatens to implode from within. But no matter how grave the threat, Snagglepuss lives by a single motto: the show must go on!","Mark Russell, Brandee Stilwell","Mike Feehan, Gus Vazquez","Mark Morales, Gus Vazquez","Jeremy Lawson, Paul Mounts",33 Pages,February  7 2018
DC,Green Arrow (2016-),Green Arrow (2016-) #37,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621462/621462._SX360_QL80_TTD_.jpg,"“THE RISE OF RED ARROW!” All Emiko wanted to do was follow in her brother’s footsteps and be the Red Arrow, but he refused her. Now she’s taken an arrow for him and her life is in the balance. Will she survive to become Red Arrow? And will Green Arrow punish those responsible or find himself in the grave?",Benjamin Percy,Juan E. Ferreyra,Juan E. Ferreyra,Juan E. Ferreyra,22 Pages,February  7 2018
DC,Green Lanterns (2016-),Green Lanterns (2016-) #40,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621467/621467._SX360_QL80_TTD_.jpg,"“INHUMAN TRAFFICKING” part one! An unassuming dating app turns dangerous for Earth’s Green Lanterns, as heroes looking for love begin to disappear around the world. Jessica Cruz and Simon Baz discover an interplanetary superhuman trafficking network preying on super-powered seekers of love and romance, but with their hearts and heads on the line, these Green Lanterns may need more than willpower to win this fight.",Tim Seeley,Barnaby Bagenda,"Mick Gray, Jay Leisten",Ulises Arreola Palomera,22 Pages,February  7 2018
DC,Harley & Ivy Meet Betty and Veronica (2017-),Harley & Ivy Meet Betty and Veronica (2017-) #5,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621487/621487._SX360_QL80_TTD_.jpg,"Archie and Jughead’s plan to save their girls from the dangers of the big city is foiled when Reggie tags along…and “Harley and Ivy” end up needing to rescue their saviors. But things can always get worse, and they do when Reggie leads some real Gotham gangsters back home to Riverdale!","Marc Andreyko, Paul Dini","Laura Braga, Adriana Melo","Laura Braga, Adriana Melo",Arif Prianto,28 Pages,February  7 2018
DC,Harley Quinn (2016-),Harley Quinn (2016-) #37,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621492/621492._SX360_QL80_TTD_.jpg,"“ANGRY BIRD” part one! Ever since he started horning in on New York City, the Penguin and Harley Quinn have been stuck in a cold war...and it’s about to heat up! Making a long-term investment in a Gotham City that’s crawling with Bats isn’t the Penguin’s style, so now he’s hell-bent on making Coney Island his new nest!",Frank Tieri,Mirka Andolfo,Mirka Andolfo,Alex Sinclair,25 Pages,February  7 2018
DC,Justice League (2016-),Justice League (2016-) #38,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621507/621507._SX360_QL80_TTD_.jpg,"“JUSTICE LOST” part five! Alone on the Watchtower, The Flash must find a way to save an astronaut drifting out into space. Meanwhile, Batman’s obsession with redeeming himself for two critical failures feeds a growing crisis of confidence in his leadership.",Christopher Priest,Marco Santucci,Marco Santucci,Alex Sollazzo,24 Pages,February  7 2018
DC,Nightwing (2016-),Nightwing (2016-) #38,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621552/621552._SX360_QL80_TTD_.jpg,"“THE UNTOUCHABLE—INFILTRATION”! Another day in Blüdhaven, another death tied to the Judge of all Creation. The clues lead Nightwing to Guppy, who was there when the first murder occurred. If Nightwing can’t stop the Judge, maybe Dick Grayson can.",Sam Humphries,Bernard Chang,Bernard Chang,Marcelo Maiolo,25 Pages,February  7 2018
DC,Superman (2016-),Superman (2016-) #40,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621612/621612._SX360_QL80_TTD_.jpg,"“SUICIDE PLANET” part one! Far away in a distant solar system, a world stands on the brink of destruction, much as Krypton did so many years ago. As Superman and son venture off into space to help, an unexpected adversary stops our heroes dead in their tracks: these people wish to die.",James Robinson,Doug Mahnke,"Scott Hanna, Jaime Mendoza","Wil Quintana, Dinei Ribeiro",24 Pages,February  7 2018
DC,The Jetsons (2017-),The Jetsons (2017-) #4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621652/621652._SX360_QL80_TTD_.jpg,"George and his family know the end is coming as the rest of the planet finds out the same news. Jane leads an attack on an alien life-form, while George is offered a way off the planet, but at a cost.",Jimmy Palmiotti,Pier Brito,Pier Brito,Alex Sinclair,27 Pages,February  7 2018
DC,Milk Wars (2018),Mother Panic/Batman Special (2018-) #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621537/621537._SX360_QL80_TTD_.jpg,"“MILK WARS” part two! Mother Panic has discovered a Gotham City transformed. What happened to her family and friends? And who moved into Gather House, the religious school that scarred Mother Panic as a young girl? It’s Father Bruce, the orphan millionaire who decided to give back to society by filling the deep demand for sidekicks. So many Robins in need of a nest! Plus, part two of the Eternity Girl backup story!","Jody Houser, Magdalene Visaggio","Sonny Liew, Ty Templeton","Sonny Liew, Ty Templeton","Sonny Liew, Keiren Smith",42 Pages,February  7 2018
Dynamite,Dejah Thoris Vol. 4,Dejah Thoris Vol. 4 #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/627845/627845._SX360_QL80_TTD_.jpg,"Dejah Thoris, obsessed with finding the legendary Gardens of Mars, recruits her own expedition team of scientists. But once outside the palace walls, things don’t go as planned, and the Princess learns the hard way just how dangerous Barsoom really is.",Amy Chu,Pasquale Qualano,,,30 Pages,February  7 2018
Dynamite,George R.R. Martins A Clash Of Kings: The Comic Book,George R.R. Martins A Clash Of Kings: The Comic Book #8,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/617498/617498._SX360_QL80_TTD_.jpg,George R.R. Martin’s epic A Song of Ice and Fire series continues with this latest installment of A Clash of Kings!,"George R. R. Martin, Landry Q. Walker",Mel Rubi,,,28 Pages,February  7 2018
Dynamite,Legenderry: Red Sonja (2018-),Legenderry: Red Sonja #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/627875/627875._SX360_QL80_TTD_.jpg,"The last we saw of Red Sonja of the Legenderry world, she was living the pirate’s life aboard her ship, The Nautilus. But times have changed. As she tries to rebuild her life once again, she must save the Big City from two houses divided and the star crossed love bringing them to the brink of war!",Marc Andreyko,Igor Lima,,,27 Pages,February  7 2018
Dynamite,The Greatest Adventure,The Greatest Adventure #9,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/607434/607434._SX360_QL80_TTD_.jpg,"With the threat of a doomsday weapon looming before them, Edgar Rice Burroughs’ greatest heroes rage into battle to protect the innocent. Who will survive? Can they defeat evil in time? Find out in the epic conclusion of The Greatest Adventure!",Bill Willingham,Cezar Razek,,,33 Pages,February  7 2018
Dynamite,The Shadow/Batman,The Shadow/Batman #5,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/627955/627955._SX360_QL80_TTD_.jpg,"The Silent Seven fight a war on multiple fronts. But if you follow the strings high enough, are Batman, the Shadow, and Robin still just puppets? Robin and the Shadow fight for their lives, while the actions of the Seven leave Batman unsure if he can trust anyone in his life, including himself. Three generations of crimefighting are deserted and alone, but if they can come together to finally confront the Seven where they live, is it their final victory? Or exactly what the Seven has wanted all along?",Steve Orlando,Giovanni Timpano,,,31 Pages,February  7 2018
Dynamite,Swordquest,Swordquest: Realworld,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/627965/627965._SX360_QL80_TTD_.jpg,"In 1984, Peter Case was on his way to being crowned champion of SwordQuest, set to win the last of four contests and lay claim to a golden sword worth over $50,000! But when the game was discontinued, Peter found himself without a game to finish. Now, over thirty years later, Peters stuck in a different kind of game entirely -- the game of life, and hes losing fast. But when he learns that all the prizes meant for the SwordQuest contest of his youth are on display in the World Arcade Museum, he finds an unknown determination that sees him put together a team of like-minded losers for the ultimate heist job -- a real-life sword quest! The red-hot team of Chris Sims, Chad Bowers, and Ghostwriter X (Down Set Fight) have a new game -- and the stakes have never been higher!","Chad Bowers, Chris Sims",Ghostwriter X,,,154 Pages,February  7 2018
IDW,30 Days Of Night (2017-),30 Days Of Night (2017-) #3,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/607570/607570._SX360_QL80_TTD_.jpg,"Shortly after a mysterious stranger arrives in Barrow, Alaska, the power goes out and the town falls into darkness. But having no electricity is the least of Barrows worries, because new strangers are approaching... and they are very hungry. The reimagining of 30 Days of Night continues in an all-new and all-horrifying direction!",Steve Niles,Piotr Kowalski,,,29 Pages,February  7 2018
