publisher,series title,issue title,cover image,description,writers,artists,inkers,colorists,pages,release date
Marvel,Avengers (2016-),Avengers (2016-) #676,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/597905/597905._SX360_QL80_TTD_.jpg,"NO SURRENDER Part 2! The Black Order. The Lethal Legion. Two teams of powerful villains bent on destroying each other have arrived on Earth, and they dont care who gets caught in the crossfire. But whos pulling their strings? And what is the secret of the lost Avenger?","Al Ewing, Mark Waid, Jim Zub",Pepe Larraz,,,23 Pages,January 17 2018
Legendary,Pacific Rim Aftermath,Pacific Rim Aftermath #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/629664/629664._SX360_QL80_TTD_.jpg,"Prepare to return to the epic universe of Jaegers and Kaiju with PACIFIC RIM AFTERMATH, the official comic book prequel to the highly anticipated new film PACIFIC RIM UPRISING starring John Boyega and coming to theaters March 2018.

Santa Monica, 2034. In a city that was once the jewel of the west coast, a new world has emerged: one rising up from the ashes of giant robots and giant monsters. In this futuristic aftermath, we will meet a new generation of survivors, including Jake Pentecost, son of Stacker Pentecost, who is searching for answers behind the death of his Legendary father; Griffin, a Jaeger pilot who has gone from using his skills to defend the world to piloting an illegal Jaeger enforcer for a mob boss; and the Mech Czar, a techno-criminal overlord who rules the underworld with a steel fist. Set against a neo-noir backdrop of street gangs, Kaiju worshipers, and Jaeger Scrapyards, a mysterious but familiar figure arrives with a dangerous agenda...

The 6-part series is a gritty action adventure that explores a new criminal underworld born in an age of monsters and mechs, and an unmissable story for all PACIFIC RIM fans.

The Uprising starts here!",Cavan Scott,Richard Elson,,Guy Major,28 Pages,"Prepare to return to the epic universe of Jaegers and Kaiju with PACIFIC RIM AFTERMATH, the official comic book prequel to the highly anticipated new film PACIFIC RIM UPRISING starring John Boyega and coming to theaters March 2018."
DC,Justice League (2016-),Justice League (2016-) #37,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606474/606474._SX360_QL80_TTD_.jpg,"“JUSTICE LOST” part four! As public confidence in the League continues to fall, strained relationships within the team are set aside when Simon Baz is kidnapped by the mysterious figure known as the Fan: a zealous Justice League acolyte who was inspired by the team as a youth and who now deals death to the League’s enemies. The Fan knows literally every detail about the League membership’s powers and tactics, and easily turns their own systems and resources against them “for their own good.",Christopher Priest,Phil Briones,Phil Briones,Gabe Eltaeb,31 Pages,January 17 2018
Dark Horse,Jenny Finn,Jenny Finn #3,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598714/598714._SX360_QL80_TTD_.jpg,"The death toll continues to rise as the tentacle plague sweeps through London, and slop yard worker Joe tries to flee the city after being haunted by visions of cursed young Jenny Finn, but everyone from a local painter to the Prime Minister is searching for him to try to get to Jenny.

Mike Mignola and Troy Nixeys acclaimed series, in color for the first time by Eisner Award winner Dave Stewart.","Mike Mignola, Troy Nixey",Troy Nixey,,Dave Stewart,22 Pages,January 17 2018
Black Crown,Assassinistas,Assassinistas #2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/595696/595696._SX360_QL80_TTD_.jpg,"""Pregnant Pauses and Campout Makeouts"" Dominic Price is a college-age cutie pie who just wants to spend the semester making out with his boyfriend, Taylor, in between rounds of TurboLight Fighter and maintaining a solidly passable 3.2 GPA. His mom, Octavia, formerly a badass action-movie-quality bounty hunter, didnt pay his tuition, because she had to get back in the business and spend 40K on black market weapons and body armor And shes bringing Dominic with her, because the alternative is making lattes for a semester, and hed rather die. Good thing in moms line of work, dying is an option!",Tini Howard,Gilbert Hernandez,,,36 Pages,January 17 2018
Top Shelf Productions,The Three Rooms in Valeries Head,The Three Rooms in Valeries Head,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/568686/568686._SX360_QL80_TTD_.jpg,"British comedy blended with universal regret, this darkly funny graphic novel uses surreal and beautiful visions to explore the ways we remain haunted by our ex-lovers. Valerie has a rich interior life. Though serially unlucky in love, she finds comfort in imagining that her ex-boyfriends are dead and that their bodies are kept downstairs in the cellar in a strange, mummified state. Every day she brings them upstairs and speaks with them about what went wrong.",David Gaffney,Dan Berry,,,124 Pages,January 17 2018
Action Lab - Danger Zone,Danger Doll Squad,Danger Doll Squad Vol. 1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/620997/620997._SX360_QL80_TTD_.jpg,"Our three most popular Danger Zone titles: Zombie Tramp, Vampblade, and DollFace come together to form the all-new Danger Doll Squad! When each girl’s deadliest foes merge together, our terrible threesome must enter “the black room”, a virtual reality inside cyberspace, to do battle against Necro Magic AI!!! Can they handle it?! Can you?? Collects issues 0-3, the complete Danger Zone crossover spectacular event!","Jason Martin, Dan Mendoza, Bryan Seaton","Celor, Marco Maccagni, Winston Young",,,111 Pages,June 27 2018
Action Lab,Princeless- Raven: The Pirate Princess,This is part of a collected edition,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/620987/620987._SX360_QL80_TTD_.jpg,"The battle is over, but our crew is changed forever.  Some of our crew is injured, some is shaken, some are gone.  Now it’s time for the crew to gather what’s left and decide where to go from here.  Follow Quinn and Zoe as they work to pull everybody back together and continue their quest, if they can.",Jeremy Whitley,Xenia Pamfil,,,29 Pages,January 17 2018
Action Lab,Toyetica,Toyetica #5,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/621002/621002._SX360_QL80_TTD_.jpg,"An accident in Home Rec means a trip into town for Trixie and friends. When Minky reveals shes never seen humans before, the gang tries to introduce her to their culture...but can the human world make a good impression on this skeptical mermaid?",Marty LeGrow,Marty LeGrow,,Marty LeGrow,33 Pages,January 17 2018
BOOM! - BOOM! Box,Fence,Fence #3,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/619796/619796._SX360_QL80_TTD_.jpg,"As Nicholas works to become a better fencer, Seiji takes an unexpected interest in his journey.",C.S. Pacat,Johanna the Mad,,Joana Lafuente,27 Pages,January 17 2018
